student_id,gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,overall_score
108107,1,1.4324623924261928,0.9729316097114146,1.2071736343905866,-1.6438458160657767,0.1168926606621065,1.1263242267157791,0,0,2,-0.0011456508127919134,65.172
108509,1,0.3310097173405933,-0.504085298740431,-1.0662532293471836,-0.2912344043478623,0.6693705174291066,-1.3837404015322097,0,1,3,0.2187093777289936,58.24949999999999
108733,1,1.015069799762176,0.9427765727112201,1.4017821675024673,0.5617096985688285,-0.7754577347767366,-1.1603577670785385,0,1,0,-0.8530838864122102,65.58149999999999
100343,0,-1.1685118192671704,-1.7694370436332176,1.2006866832868575,-1.5570274666622366,0.23577405662714843,0.35818117801584914,1,1,1,1.1805751275993046,59.73950000000001
100447,0,0.42762837304985646,-0.6977734210109127,0.7461011097870524,-0.8278456916186772,-1.1686049239225396,-0.2984634572866529,1,0,0,-0.9904932792508261,52.0465
109477,1,1.6566176736716833,1.0517986295580777,-1.580219355258049,-0.5558456501363106,0.12083893106758499,0.48009639820127237,1,1,0,-0.5988765096607708,58.379
107335,0,-1.3617491306856966,1.5284801759842328,1.6193445275967753,-1.5681106602031143,0.2135762855963313,0.9685288942605951,0,0,0,1.5240986096958442,68.469
105881,1,-1.4467735477098482,0.4052050477269795,1.6447933357729447,0.68362482751848,-1.137034760678711,0.9453804347317174,0,0,3,0.4523053455546404,69.181
105056,1,-0.17140729234757487,-0.9836663679550666,1.124839254997098,1.0073464388582747,-0.0735148864022351,1.1722353381147201,0,1,2,1.5309690793377748,74.5885
101220,1,1.0498525158175107,1.2112723829244922,0.968653432268845,1.1057097815335615,-0.7591793693541375,1.4635201205197665,1,0,2,-0.949270461399241,74.17
109200,1,-0.10184186023690553,0.976411037057591,-0.6915070540471254,-0.6163414148802663,-0.29006647490287196,0.2844919151822545,0,1,2,1.31798452043792,58.061
108872,1,0.5087880438456375,0.976411037057591,0.28652557389976424,1.7078966305879004,1.487235058964542,1.7166099447021645,1,1,3,0.7133831919480104,90.886
109232,0,-1.01778671636072,-1.1982310543026062,-0.31426589755332507,1.047984815174825,1.4689835583392035,-1.205883070818665,0,1,2,-0.5301718132414626,73.45100000000001
